,type,category,review,star
0,맥북,별점,"제가 11월 26일 구매를 하고 28일 토요일 빠르게 배송을 받았습니다.
이때까지는 기분이 좋았는데... 컴퓨터가 작동을 안하더군요...
판매자에게 주말이라 연락할 방법이 없어 월요일에 연락을 했더니...
고객응대를 참 독특하게 하시더군요. 하나 하나 차근 차근 설명을 드리려고하는데 다짜고짜 화부터 내시면서 제 말은 하나도 듣지 않았습니다.
저도 이런일이 처음이라 판매자가 구매자에게 험 한말을 자주 들어서 그런가 했지만 막무가네로 나가니 저도 참을 수가 없더군요. 그래서 네이버에 중재 요청을 하고 시간이 지나 1주일 후쯤 네이버도 나몰라라 하더군요....
애플은 정식 판매점에서 구매한게 해줄수 있는게 없고 이런경우는 판매자가 책임을 져야한다...판매자는 그냥 자기는 잘못없다... 300만원이 넘는 제품을... 하~
다행히 명동 애플센터에서 하자가 있는 베터리를 교체해주었습니다.
그래서 제품을 제가 받은게 오늘입니다... 12월 9일...

여기서 왠만하면 구매하지 마세요.... 뽑기 잘하시면 여기서 구매하시구요
뽑기 잘못하시면 저처럼 됩니다... 저 정도면 양호 한겁니다. 애플에 전화하고 센터에 몇번을 방문해서 베터리 무상교체 받았으니까요... 다른 분들은 아마 교체 비용 내셔야 할겁니다~

잘생각하고 구매하세요... 아니 여기서는 구매하지 마세요
공식판매처 찾아보시고 세일이나 행사하는지 보고 구매하시길~~~",1
1,맥북,별점,너무 늦게왓어요 당일배송할것처럼 판매해놓고 한달 다되서 받았네요 저말고 다른분들도 그렇게 낚이신것같네요 늦게올줄알앗으면 싸도 여기서 안샀을텐데....기다리다보니 한달가까이되서받긴 받앗는데 기분은 좋지 않아요..,1
2,맥북,별점,"별도 포장없이 기본 제품박스 (노란박스)에 택배송장 붙어서 왔네요.
제품 가격이 340만원임을 생각하고, 전자제품인걸 감안한다면 너무 무감각하네요.

심지어 다른사람 리뷰에는 뽁뽁이로 꼼꼼하게 포장되어 왔다고 하던데. 저한테만 포장없이 보내",1
3,맥북,별점,"2020.5.11.에 주문하여 2020.6.1. 제품을 택배(박스도 다 찢겨져 너덜너덜한 상태로 도착)로 수령하자마자 노트북에 하자(찍힘)를 발견해 환불을 요청하였으나 외형상 긁힘이나 찍힘에 대해서는 교환, 환불이 되지 않는다고 환불을 거절하고 있습니다.
또, 제품 구매 당시부터 제품 수령일 다음날까지(2020.5.11.~2020.6.2.) 상품 판매 페이지에 애플 AS 규정안내라는 항목은 하나도 없었는데 막상 환불을 요구하니 제품 판매 페이지에 환불해 줄 수 없다는 규정을 막 집어넣고, 그 규정에 의해서 환불을 해 줄 수 없다고 합니다. 하지만 제가 미리 판매 페이지를 캡처하여 증거자료로 보관중이라 그나마 다행이네요.
저처럼 피해당하시는 분이 없길 바라면서 구매후기를 남깁니다.",1
4,맥북,별점,"송장주소 제대로 확인하고 발송하세요.
급한데 다른집으로 배송되서 사용도 못했습니다.",1
5,맥북,별점,"9월11일 주문, 10월5일 수령
늦으면 늦는다 말만했어도 곱게 기다렸는데
마치 바로 배송되는것처럼 해놓고 기다리게 하니까 화딱지남",1
6,맥북,별점,배송은 빠르지만 물건이 작년 생산분으로 왔습니다 그래서 배터리가 방전되어 있구요 상품은 이상없고 좋지만 굳이 이곳을 추천하고 싶진 않습니다,1
7,맥북,별점,이렇게 오래 걸릴 줄은 몰랐네요,1
8,맥북,별점,"직접 수령으로 얘기를 주고 받았음에도 그냥 보내심.
결국 제 이벤트는 날라갔습니다.",1
9,맥북,별점,제품이야 맥북인데 배송이 넘 늦네요~,2
10,맥북,별점,"애플이 아니고 애물이네요.
투정, 짜증 다받아주신 사장님 감사해요.",2
11,맥북,별점,맥북은 좋지만 배송이 늦었어요.,2
12,맥북,별점,"무사히 잘 받았네요. 당일 배송 문구와 저렴했던 가격 보고 바로 주문했습니다. 업무때문에 급하게 필요해서 당일배송 문구 보고 주문하였으나, 따로 고지없이 배송까지 2주 넘게 소요되어 애가 타는 시간이었습니다. 사전에 미리 고지를 해주셨으면하는 아쉬움이 많이 남습니다.",3
13,맥북,별점,문제 없던건 아니였지만 나름잘쓰고있어요,3
14,맥북,별점,속도 빠르고 좋아요,3
15,맥북,별점,다소 느린감이.. 느껴지는데 그거말고는 좋아요,3
16,맥북,별점,넘나비싸요 기능은조아요,3
17,맥북,별점,배송에 4일 걸렸어요,3
18,맥북,별점,배송이 1달 걸리네요 ㅠ.ㅠ,3
19,맥북,별점,좋은물건 빠르게 잘받았습니다잘사용할게요,3
20,맥북,별점,주문시점에 국내 재고가 없어 다소 지연되어서 받았지만 너무 적절한시기에 잘 받았습니다.신경써주심에 감사합니다.,3
21,맥북,별점,비오는데 비닐로 한번더 포장 했음 ..,3
22,맥북,별점,상품은 잘 받았습니다.배송도 적당합니다.상품은 잘쓰겠습니다.,3
23,맥북,별점,잘 받았습니다.,3
24,맥북,별점,우선 맥북 성능이야 미리 알고 구매한거라 문제는 없었지만2020년 4월 제조 제품인데 방전이 되서 와서 몹시 당황스크린 타임 보니 근래에 사용한 것 같이 켜져있었는지..기록이 있어서 그것 또한 놀랬네요.판매자 분께 상황을 설명드리니 사용에 이상이 있으면 애플에 문의하라 하시니...이전 맥북 백업중이라 본격 세팅 후 사용은 해봐야 할 것 같습니다.,4
25,맥북,별점,"연말에 코로나까지 겹쳐서 배송은 진짜 오래 걸렸어요. 배송 일정을 미리 알 수도 없어서 넘 답답했는데 그래도 무사히 받게 돼서 다행입니다.
배송일에 날씨가 영하 강추위라 배터리가 걱정됐는데 부팅도 잘 되고 잘 돌아갑니다. 아직 문제가 발견되지 않았고 정품 맞습니다. 저렴한 가격에 잘 샀어요. 감사합니다^^",4
26,맥북,별점,택배가 살짝 찌그러져서 오고 안에 뽁뽁이도 부실하게 되어있었지만 제품 자체엔 문제없네요 잘쓸게요 :),4
27,맥북,별점,빠른처리 감사합니다 잘받았습니다,4
28,맥북,별점,빨라서 사용하기 좋아요,4
29,맥북,별점,"음.... 그냥 그래요
가격은 비싼데 영상제작할때 렉도걸리고 한글편집할때도 렉 걸리고 별로임..",4
30,맥북,별점,배송겁나빠르고 맥북 잘왔어요,4
31,맥북,별점,잘쓰고 있어요 만족대박요,4
32,맥북,별점,성능 빠르고 좋아욯ㅎ,4
33,맥북,별점,배송빨리왔어요 감사합니다,4
34,맥북,별점,"결제할때 일주일정도 기다려야한다고 안내 받았고, 딱 일주일만에 받았어요! 주문한 스페이스그레이 대신 실버로 변경해야했지만... 빨리 받고 싶은 마음이 컸어요 ㅎㅎ 저렴한 가격에 잘 샀고요~ 잘 쓸게요^^",4
35,맥북,별점,배송 빠르고 저렴하게 잘 샀어요. 문제 없이 잘 되면 좋겠어요.,4
36,맥북,별점,뽁뽁이와 상자로 한번 더 싸주셔서 좋아요,4
